#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# Crystal Structure:               hexagonal 
# Mass (mg):                       8.549999999999999
# Sample Dimensions (mm):          [0.935 1.01  1.231]
# Highest Order Basis Polynomial:  16        
# Number Of Calls:                 3982      
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# c11 =  (119.854  +/-  0.309) GPa  (0.26%);    bounds (GPa): [110. 140.];    init value = 123.568 GPa
# c12 =  (28.058   +/-  0.384) GPa  (1.37%);    bounds (GPa): [20. 50.];      init value = 33.712 GPa
# c13 =  (14.273   +/-  0.886) GPa  (6.21%);    bounds (GPa): [ 0. 30.];      init value = 18.007 GPa
# c33 =  (142.826  +/-  0.891) GPa  (0.62%);    bounds (GPa): [125. 155.];    init value = 142.772 GPa
# c44 =  (44.006   +/-  0.099) GPa  (0.23%);    bounds (GPa): [30. 60.];      init value = 42.446 GPa
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# index    f exp (MHz)    f calc (MHz)   difference (%)         2*df/dlnc11    2*df/dlnc12    2*df/dlnc13    2*df/dlnc33    2*df/dlnc44    

0        0.90811        0.90213        0.65797                0.028663       -0.006328      -0.000315      0.002925       0.975055       
1        1.24913        1.24776        0.11021                0.800836       -0.184397      -0.002823      0.016106       0.370279       
2        1.30707        1.3078         -0.05571               0.039692       0.000992       -0.031677      0.682166       0.308827       
3        1.34312        1.33837        0.35321                0.032109       0.000633       -0.027438      0.674787       0.319908       
4        1.37661        1.37696        -0.02591               0.019981       -0.002891      -0.000243      0.038922       0.94423        
5        1.437          1.43733        -0.02364               0.018675       -0.003044      -0.000965      0.050294       0.93504        
6        1.5798         1.58077        -0.06156               1.129579       -0.147111      0.000412       0.00551        0.011609       
7        1.59618        1.60076        -0.28674               1.280191       -0.285456      -0.004555      0.009001       0.000819       
8        1.60431        1.60365        0.04072                0.994588       -0.20195       0.001172       0.014364       0.191826       
9        1.71469        1.71335        0.07846                0.447627       -0.101754      -0.010944      0.472921       0.19215        
10       1.74645        1.74615        0.01692                0.182261       0.001814       -0.089414      0.905277       6.4e-05        
11       1.76705        1.76679        0.01468                1.13733        -0.146097      -0.005132      0.00356        0.010338       
12       1.77675        1.77739        -0.03608               0.860237       -0.09326       -0.009421      0.004831       0.237613       
13       1.78764        1.79217        -0.25331               0.780662       -0.147032      -0.044018      0.408265       0.002122       
14       1.80308        1.81205        -0.49772               1.21866        -0.282819      0.002875       0.061273       1.1e-05        
15       1.82055        1.81696        0.19722                0.167569       -0.036574      -0.004903      0.127385       0.746524       
16       1.89033        1.88143        0.47043                0.60025        0.046202       -0.013414      0.036397       0.330565       
17       1.92478        1.91301        0.61143                0.904711       -0.099262      -0.009434      0.005427       0.198558       
18       2.02526        2.0203         0.24498                1.047202       -0.099615      -0.001952      0.050368       0.003997       
19       2.04319        2.04142        0.08689                0.605574       0.037167       -0.028788      0.361901       0.024145       
20       2.04755        2.0467         0.04142                0.536569       -0.114194      0.006116       0.051029       0.520481       
