#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# Crystal Structure:               hexagonal 
# Mass (mg):                       5.95      
# Sample Dimensions (mm):          [0.836 0.743 1.136]
# Highest Order Basis Polynomial:  16        
# Number Of Calls:                 3853      
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# c11 =  (130.774  +/-  0.269) GPa  (0.21%);    bounds (GPa): [110. 150.];    init value = 131.0 GPa
# c12 =  (28.402   +/-  0.349) GPa  (1.23%);    bounds (GPa): [10. 50.];      init value = 28.058 GPa
# c13 =  (16.94    +/-  0.498) GPa  (2.94%);    bounds (GPa): [ 0. 40.];      init value = 17.3 GPa
# c33 =  (151.479  +/-  0.394) GPa  (0.26%);    bounds (GPa): [120. 160.];    init value = 151.7 GPa
# c44 =  (48.004   +/-  0.078) GPa  (0.16%);    bounds (GPa): [30. 70.];      init value = 48.29 GPa
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# index    f exp (MHz)    f calc (MHz)   difference (%)         2*df/dlnc11    2*df/dlnc12    2*df/dlnc13    2*df/dlnc33    2*df/dlnc44    

0        0.95602        0.95049        0.57816                0.023732       -0.004862      -0.000346      0.00304        0.978436       
1        1.30205        1.30377        -0.13187               0.026513       0.002403       -0.035479      0.720542       0.286021       
2        1.35676        1.3563         0.0338                 0.025434       0.001691       -0.032376      0.705584       0.299668       
3        1.54538        1.54597        -0.03869               0.013497       -0.001757      -0.000934      0.057702       0.931492       
4        1.5728         1.55916        0.8673                 0.755029       -0.160278      -0.004347      0.024213       0.385382       
5        1.6534         1.65104        0.14282                0.013278       -0.001909      -0.002851      0.087581       0.903901       
6        1.82693        1.82653        0.02158                0.067655       0.011901       -0.083732      1.004162       1.4e-05        
7        1.84124        1.84143        -0.01015               0.282398       -0.057399      -0.013134      0.254795       0.53334        
8        1.84636        1.85022        -0.20857               1.120425       -0.126735      -0.00602       0.00374        0.008591       
9        1.94589        1.94717        -0.06547               1.194201       -0.245749      -0.004321      0.007577       0.048292       
10       1.95169        1.95043        0.0645                 0.935568       -0.160113      -0.000918      0.023356       0.202107       
11       2.00489        2.00386        0.05127                0.439805       -0.093402      -0.0052        0.27617        0.382627       
12       2.04596        2.0511         -0.25112               0.886198       -0.085975      -0.01405       0.007514       0.206313       
13       2.06468        2.0569         0.37672                0.823443       -0.131744      -0.043157      0.337346       0.014112       
14       2.17621        2.18338        -0.32963               1.243853       -0.253283      0.00352        0.005889       2e-05          
15       2.19815        2.19265        0.25028                1.104808       -0.121116      -0.015688      0.010051       0.021946       
16       2.33623        2.32605        0.43574                0.942334       -0.090072      -0.016892      0.011243       0.153387       
17       2.34247        2.32991        0.53587                0.628889       0.018972       -0.015791      0.054897       0.313033       
18       2.37516        2.37562        -0.01926               0.592823       -0.120236      0.007993       0.080393       0.439027       
19       2.39692        2.38529        0.48502                0.637963       0.04529        -0.047505      0.304431       0.05982        
20       2.44867        2.44566        0.12306                1.079163       -0.10098       0.003209       0.015203       0.003403       
