#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# Crystal Structure:               hexagonal 
# Mass (mg):                       8.549999999999999
# Sample Dimensions (mm):          [0.935 1.01  1.231]
# Highest Order Basis Polynomial:  16        
# Number Of Calls:                 2248      
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# c11 =  (119.824  +/-  0.342) GPa  (0.29%);    bounds (GPa): [110. 140.];    init value = 119.854 GPa
# c12 =  (28.284   +/-  0.423) GPa  (1.5%);     bounds (GPa): [20. 40.];      init value = 28.058 GPa
# c13 =  (13.769   +/-  0.59) GPa   (4.28%);    bounds (GPa): [ 0. 30.];      init value = 14.273 GPa
# c33 =  (142.562  +/-  0.522) GPa  (0.37%);    bounds (GPa): [125. 155.];    init value = 142.826 GPa
# c44 =  (44.023   +/-  0.09) GPa   (0.21%);    bounds (GPa): [30. 60.];      init value = 44.006 GPa
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# index    f exp (MHz)    f calc (MHz)   difference (%)         2*df/dlnc11    2*df/dlnc12    2*df/dlnc13    2*df/dlnc33    2*df/dlnc44    

0        0.90811        0.90227        0.64266                0.028871       -0.006435      -0.000299      0.002913       0.97495        
1        1.24913        1.24683        0.18426                0.804381       -0.186818      -0.002686      0.015966       0.369157       
2        1.30707        1.30776        -0.05303               0.037753       0.00078        -0.029278      0.681759       0.308986       
3        1.34312        1.33825        0.3624                 0.03086        0.000418       -0.025311      0.674222       0.319812       
4        1.37661        1.37714        -0.03875               0.02005        -0.002932      -0.00018       0.03898        0.944082       
5        1.437          1.43752        -0.03648               0.01869        -0.003083      -0.00086       0.050339       0.934914       
6        1.5798         1.57959        0.01308                1.133319       -0.149667      0.00042        0.005149       0.010779       
7        1.59618        1.59877        -0.16229               1.284212       -0.289         -0.004169      0.008219       0.000738       
8        1.60431        1.60215        0.1347                 0.998634       -0.205034      0.001285       0.014345       0.19077        
9        1.71469        1.71218        0.14656                0.449984       -0.103265      -0.010073      0.475532       0.187822       
10       1.74645        1.74737        -0.05307               0.17931        -0.000201      -0.083596      0.904424       6.3e-05        
11       1.76705        1.76565        0.07921                1.140634       -0.148763      -0.004734      0.003305       0.009557       
12       1.77675        1.77689        -0.00773               0.861596       -0.095203      -0.008575      0.004406       0.237776       
13       1.78764        1.79163        -0.22308               0.781622       -0.149654      -0.041341      0.407228       0.002145       
14       1.80308        1.80952        -0.35702               1.21841        -0.285135      0.002883       0.063832       1.1e-05        
15       1.82055        1.81685        0.20327                0.165395       -0.036451      -0.004506      0.124638       0.750923       
16       1.89033        1.88213        0.43368                0.598286       0.046324       -0.012123      0.035958       0.331555       
17       1.92478        1.9124         0.64338                0.906269       -0.101389      -0.008525      0.004961       0.198683       
18       2.02526        2.01915        0.30176                1.064768       -0.107207      -0.00012       0.039291       0.003267       
19       2.04319        2.04198        0.05949                0.59053        0.04304        -0.029015      0.370459       0.024985       
20       2.04755        2.0455         0.10007                0.536288       -0.115095      0.006          0.051654       0.521152       
21       2.16709        2.16465        0.11245                0.630612       -0.082358      -0.020062      0.232415       0.239393       
22       2.18928        2.18009        0.41985                0.942337       -0.111813      -0.009549      0.005          0.174024       
23       2.20324        2.19574        0.34055                0.641072       -0.135871      -0.009015      0.064225       0.439588       
24       2.20822        2.19827        0.45062                0.656936       -0.098772      -0.018742      0.258851       0.201727       
25       2.27325        2.28005        -0.2992                0.84647        0.101478       0.022929       0.02868        0.000443       
26       2.27789        2.28398        -0.26759               0.506298       -0.095716      -0.02676       0.250987       0.365191       
27       2.29022        2.29325        -0.1324                0.13145        0.01182        -0.030408      0.37651        0.510628       
28       2.30387        2.29832        0.24095                0.664522       -0.136325      -0.01569       0.088629       0.398864       
29       2.33965        2.34354        -0.16617               0.089247       0.003131       -0.026916      0.379285       0.555254       
30       2.4883         2.48657        0.0696                 0.15009        -0.012235      -0.00437       0.240722       0.625793       
31       2.49788        2.49743        0.01816                0.114914       -0.011647      -0.005921      0.255254       0.6474         
32       2.50914        2.51485        -0.22749               0.510747       0.066773       -0.063759      0.252169       0.234071       
33       2.54274        2.53895        0.14905                0.734975       -0.152424      -0.006465      0.109137       0.314777       
