#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# Crystal Structure:               hexagonal 
# Mass (mg):                       8.9       
# Sample Dimensions (mm):          [0.911 1.02  1.305]
# Highest Order Basis Polynomial:  16        
# Number Of Calls:                 36        
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# c11 =  (138.357  +/-  0.273) GPa  (0.2%);     bounds (GPa): [120. 150.];    init value = 138.8 GPa
# c12 =  (42.159   +/-  0.319) GPa  (0.76%);    bounds (GPa): [25. 55.];      init value = 42.0 GPa
# c13 =  (14.464   +/-  0.478) GPa  (3.3%);     bounds (GPa): [ 0. 30.];      init value = 14.3 GPa
# c33 =  (194.327  +/-  0.416) GPa  (0.21%);    bounds (GPa): [180. 210.];    init value = 194.6 GPa
# c44 =  (45.059   +/-  0.05) GPa   (0.11%);    bounds (GPa): [30. 60.];      init value = 45.2 GPa
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# index    f exp (MHz)    f calc (MHz)   difference (%)         2*df/dlnc11    2*df/dlnc12    2*df/dlnc13    2*df/dlnc33    2*df/dlnc44    

0        0.86329        0.85876        0.52487                0.032935       -0.009697      -0.000191      0.002944       0.974009       
1        1.31592        1.31229        0.27576                0.858089       -0.258226      -0.00184       0.013783       0.388194       
2        1.33774        1.33595        0.13327                0.024849       -0.001132      -0.014771      0.578444       0.412609       
3        1.35974        1.35989        -0.01062               0.017786       -0.00355       -3.7e-05       0.032322       0.953479       
4        1.3809         1.37993        0.06974                0.024078       -0.002087      -0.011889      0.55285        0.437048       
5        1.45132        1.45249        -0.081                 0.015804       -0.003593      -0.000582      0.046429       0.941941       
6        1.62763        1.62474        0.17735                1.242509       -0.249459      -0.001484      0.002003       0.006432       
7        1.6521         1.65974        -0.46277               1.408901       -0.41506       -0.002201      0.004246       0.004114       
8        1.66751        1.66345        0.24342                1.075399       -0.292528      0.000912       0.012479       0.203738       
9        1.70684        1.7064         0.02565                0.137172       -0.040364      -0.002048      0.122016       0.783224       
10       1.81958        1.81447        0.28059                0.963009       -0.177476      -0.004797      0.002547       0.216717       
11       1.8583         1.85866        -0.0191                1.372573       -0.399114      -0.007838      0.034357       2.3e-05        
12       1.87666        1.87207        0.24451                0.575969       -0.171245      -0.004991      0.423239       0.177028       
13       1.90524        1.90268        0.13416                0.883995       -0.232338      -0.029529      0.374123       0.003749       
14       1.91473        1.91411        0.03213                1.246253       -0.249928      -0.005554      0.002961       0.006268       
15       1.95026        1.94983        0.02192                0.109665       -0.014491      -0.041779      0.94647        0.000135       
16       2.04376        2.03851        0.2569                 1.022459       -0.191192      -0.004133      0.00256        0.170306       
17       2.05643        2.05153        0.23862                0.543089       0.010715       -0.004657      0.03141        0.419444       
18       2.07375        2.07787        -0.1987                0.616155       -0.175837      0.004155       0.040911       0.514617       
19       2.15402        2.14806        0.27687                1.202936       -0.213602      0.002918       0.006103       0.001645       
20       2.25913        2.25119        0.35124                0.660324       -0.121174      -0.011373      0.153259       0.318964       
