#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# Crystal Structure:               hexagonal 
# Mass (mg):                       4.7086317774368665
# Sample Dimensions (mm):          [0.823 0.741 1.052]
# Highest Order Basis Polynomial:  16        
# Number Of Calls:                 35        
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# c11 =  (140.077  +/-  0.308) GPa  (0.22%);    bounds (GPa): [120. 150.];    init value = 138.8 GPa
# c12 =  (44.778   +/-  0.368) GPa  (0.82%);    bounds (GPa): [25. 55.];      init value = 42.0 GPa
# c13 =  (17.387   +/-  0.99) GPa   (5.7%);     bounds (GPa): [ 0. 30.];      init value = 14.3 GPa
# c33 =  (194.724  +/-  0.907) GPa  (0.47%);    bounds (GPa): [180. 210.];    init value = 194.6 GPa
# c44 =  (44.404   +/-  0.075) GPa  (0.17%);    bounds (GPa): [30. 60.];      init value = 45.2 GPa
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# index    f exp (MHz)    f calc (MHz)   difference (%)         2*df/dlnc11    2*df/dlnc12    2*df/dlnc13    2*df/dlnc33    2*df/dlnc44    

0        1.06983        1.05914        0.99887                0.031552       -0.009721      -0.000245      0.002989       0.975425       
1        1.6121         1.60687        0.32463                0.8765         -0.276794      -0.002223      0.013796       0.388721       
2        1.65971        1.65509        0.27818                0.029968       -0.000899      -0.021308      0.57426        0.417978       
3        1.67391        1.67433        -0.02477               0.018153       -0.00392       -0.000268      0.031839       0.954196       
4        1.70637        1.7055         0.05111                0.027245       -0.001781      -0.017624      0.550246       0.441914       
5        1.78052        1.7799         0.03491                0.016547       -0.003963      -0.000927      0.044589       0.943755       
6        2.01866        2.01716        0.07451                1.264927       -0.274201      -0.002275      0.002677       0.008871       
7        2.03714        2.03944        -0.11299               1.440825       -0.446154      -0.002723      0.004616       0.003435       
8        2.04722        2.04929        -0.10093               1.104803       -0.321259      0.00076        0.012054       0.203642       
9        2.10726        2.10635        0.04319                0.127867       -0.039181      -0.003061      0.110782       0.803593       
10       2.25242        2.24735        0.225                  0.984817       -0.196347      -0.007022      0.003607       0.214945       
11       2.27797        2.28706        -0.39927               1.409126       -0.433182      -0.008485      0.03252        2.2e-05        
12       2.31801        2.30696        0.47646                0.599198       -0.18662       -0.008595      0.438093       0.157924       
13       2.34494        2.34469        0.01052                0.908303       -0.250196      -0.038389      0.376447       0.003835       
14       2.34923        2.34785        0.05873                1.269519       -0.274501      -0.007481      0.003937       0.008526       
15       2.40663        2.409          -0.09867               0.126012       -0.01123       -0.060572      0.945642       0.000148       
16       2.51046        2.50359        0.27374                1.040518       -0.210322      -0.006388      0.00358        0.172612       
17       2.52837        2.52498        0.13426                0.523457       0.012946       -0.007751      0.032382       0.438965       
18       2.55406        2.55557        -0.05922               0.630473       -0.189975      0.004387       0.038377       0.516737       
19       2.66011        2.6528         0.27506                1.225244       -0.238857      0.003572       0.007713       0.002328       
20       2.78439        2.77919        0.18682                0.678819       -0.134746      -0.015202      0.159555       0.311575       
21       2.78836        2.78416        0.15069                0.686608       -0.203741      -0.006011      0.048145       0.474998       
22       2.81876        2.81089        0.27911                1.019876       -0.214376      0.001939       0.004834       0.187728       
23       2.82257        2.81473        0.2777                 0.5461         0.058804       -0.034332      0.393698       0.035729       
24       2.87222        2.8633         0.31064                0.671702       -0.162209      -0.014152      0.289418       0.215241       
25       2.89534        2.90011        -0.16452               0.620674       -0.147646      -0.031161      0.191729       0.366405       
26       2.94925        2.94969        -0.0149                0.661995       -0.194101      -0.014281      0.096697       0.44969        
27       2.95268        2.95452        -0.06245               0.190216       -0.003838      -0.0313        0.418611       0.426311       
28       3.01262        3.01792        -0.17616               0.068464       -0.000499      -0.027334      0.470142       0.489228       
29       3.05742        3.05976        -0.07672               0.081          -0.013174      -0.004134      0.18831        0.747998       
30       3.07142        3.06665        0.15551                0.196678       -0.03769       -0.001385      0.150467       0.69193        
31       3.12366        3.13538        -0.37519               0.860641       0.094337       0.019628       0.02488        0.000513       
32       3.17372        3.17408        -0.01135               0.119607       -0.034629      -0.005494      0.084557       0.83596        
33       3.19369        3.18856        0.16064                0.759434       -0.231688      -0.005417      0.207207       0.270463       
34       3.25002        3.26066        -0.32736               1.394572       -0.415266      0.004461       0.008417       0.007816       
35       3.26806        3.27568        -0.23305               1.403473       -0.412038      0.000521       0.003514       0.00453        
36       3.35112        3.34452        0.19677                0.75813        -0.152381      -0.007264      0.014321       0.387195       
37       3.35357        3.35858        -0.14928               0.596574       0.073158       -0.056786      0.174594       0.212459       
38       3.42528        3.42204        0.09457                0.780466       -0.22779       -0.002563      0.128871       0.321016       
39       3.46784        3.47196        -0.11888               0.269829       -0.052929      -0.021123      0.28095        0.523272       
40       3.50968        3.51524        -0.15836               0.909828       -0.252721      -0.001264      0.099121       0.245036       
41       3.53004        3.53253        -0.07055               0.936106       -0.258265      0.00041        0.096627       0.225122       
42       3.57442        3.57538        -0.02701               0.392593       -0.099461      -0.000919      0.20698        0.500807       
