#Variables----------------------------------------------------------------------
	# c11 : 133.523 GPa (init = [[110, 160], GPa])
	# c12 : 47.905 GPa (init = [[15, 65], GPa])
	# c13 : 8.318 GPa (init = [[-10, 40], GPa])
	# c33 : 207.140 GPa (init = [[170, 220], GPa])
	# c44 : 48.152 GPa (init = [[20, 70], GPa])
#Fixed values-------------------------------------------------------------------
	# angle_x : 0.00000000 GPa
	# angle_y : 0.00000000 GPa
	# angle_z : 0.00000000 GPa
#-------------------------------------------------------------------------------
#index  f exp(MHz)   f calc(MHz)  diff (%)     weight  
#-------------------------------------------------------------------------------
0       0.7532       0.735517     2.348        1.0     
1       1.113        1.093751     1.729        1.0     
2       1.213        1.192509     1.689        1.0     
3       1.296        1.280768     1.175        1.0     
4       1.418        1.430506     0.882        1.0     
5       1.594        1.548859     2.832        1.0     
6       1.794        1.814663     1.152        1.0     
7       1.871        1.839203     1.699        1.0     
8       2.016        2.022878     0.341        1.0     
9       2.038        2.028999     0.442        1.0     
10      2.083        2.058622     1.17         1.0     
11      2.247        2.240783     0.277        1.0     
12      2.257        2.318454     2.723        1.0     
13      0.0          2.364006     0.0          0.0     
14      2.394        2.418887     1.04         1.0     
15      2.622        2.617298     0.179        1.0     
16      2.723        2.716436     0.241        1.0     
17      2.751        2.727553     0.852        1.0     
18      2.846        2.80757      1.35         1.0     
19      2.94         2.886971     1.804        1.0     
20      3.008        2.998105     0.329        1.0     
21      3.052        3.052003     0.0          1.0     
22      3.069        3.081536     0.408        1.0     
23      3.1          3.09284      0.231        1.0     
24      3.152        3.157064     0.161        1.0     
25      3.211        3.220625     0.3          1.0     
26      3.259        3.323797     1.988        1.0     
27      3.324        3.379451     1.668        1.0     
28      3.363        3.396866     1.007        1.0     
29      3.419        3.422935     0.115        1.0     
30      3.508        3.537016     0.827        1.0     
31      3.561        3.598077     1.041        1.0     
32      3.676        3.68784      0.322        1.0     
33      3.71         3.725349     0.414        1.0     
34      3.734        3.736269     0.061        1.0     
35      3.749        3.804214     1.473        1.0     
36      3.808        3.820001     0.315        1.0     
37      3.84         3.852862     0.335        1.0     
38      3.89         3.899813     0.252        1.0     
39      3.944        3.952013     0.203        1.0     
40      3.972        3.990465     0.465        1.0     
41      0.0          4.067209     0.0          0.0     
42      0.0          4.111107     0.0          0.0     
43      0.0          4.120496     0.0          0.0     
44      0.0          4.170584     0.0          0.0     
45      0.0          4.191186     0.0          0.0     
46      0.0          4.193205     0.0          0.0     
47      0.0          4.23603      0.0          0.0     
48      0.0          4.288547     0.0          0.0     
49      0.0          4.307107     0.0          0.0     
50      0.0          4.307194     0.0          0.0     
51      0.0          4.343574     0.0          0.0     
52      0.0          4.390875     0.0          0.0     
53      0.0          4.428805     0.0          0.0     
54      0.0          4.484982     0.0          0.0     
#-------------------------------------------------------------------------------
# RMS = 1.171 %
#-------------------------------------------------------------------------------
#Fit Statistics-----------------------------------------------------------------
	# fitting method     	= differential evolution
	# data points        	= 40
	# variables          	= 5
	# fit success        	= True
	# generations        	= 72 + 1
	# function evals     	= 5475
	# fit duration       	= 14407.48 seconds
	# chi-square         	= 0.00080446
	# reduced chi-square 	= 0.00002298
