# res(MHz)	weight
0.75320000	1
1.11300000	1
1.21300000	1
1.29600000	1
1.41800000	1
1.59400000	1
1.79400000	1
1.87100000	1
2.01600000	1
2.03800000	1
2.08300000	1
2.24700000	1
2.25700000	1
2.39400000	1
2.62200000	1
2.72300000	1
2.75100000	1
2.84600000	1
2.94000000	1
3.00800000	1
3.05200000	1
3.06900000	1
3.10000000	1
3.15200000	1
3.21100000	1
3.25900000	1
3.32400000	1
3.36300000	1
3.41900000	1
3.50800000	1
3.56100000	1
3.67600000	1
3.71000000	1
3.73400000	1
3.74900000	1
3.80800000	1
3.84000000	1
3.89000000	1
3.94400000	1
3.97200000	1
