#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# Crystal Structure:               hexagonal 
# Mass (mg):                       7.684976435144674
# Sample Dimensions (mm):          [0.869 1.01  1.193]
# Highest Order Basis Polynomial:  16        
# Number Of Calls:                 3616      
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# c11 =  (139.702  +/-  0.315) GPa  (0.23%);    bounds (GPa): [120. 150.];    init value = 138.8 GPa
# c12 =  (44.414   +/-  0.381) GPa  (0.86%);    bounds (GPa): [25. 55.];      init value = 42.0 GPa
# c13 =  (16.36    +/-  0.936) GPa  (5.72%);    bounds (GPa): [ 0. 30.];      init value = 14.3 GPa
# c33 =  (192.655  +/-  0.9) GPa    (0.47%);    bounds (GPa): [180. 210.];    init value = 194.6 GPa
# c44 =  (44.295   +/-  0.068) GPa  (0.15%);    bounds (GPa): [30. 60.];      init value = 45.2 GPa
#
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->->
#
# index    f exp (MHz)    f calc (MHz)   difference (%)         2*df/dlnc11    2*df/dlnc12    2*df/dlnc13    2*df/dlnc33    2*df/dlnc44    

0        0.93416        0.91945        1.57409                0.062403       -0.019436      -0.000222      0.002744       0.954511       
1        1.34242        1.33669        0.42676                0.850636       -0.267189      -0.001968      0.012678       0.405843       
2        1.41057        1.40984        0.05196                0.022293       -0.004673      -4e-05         0.025237       0.957184       
3        1.47614        1.46724        0.60254                0.057136       -0.004765      -0.024415      0.561112       0.410933       
4        1.53052        1.52949        0.06724                0.031354       -0.002988      -0.015501      0.534013       0.453123       
5        1.54325        1.53643        0.44174                0.01989        -0.004877      -0.000888      0.04051        0.945365       
6        1.62581        1.62557        0.01511                1.235382       -0.267866      0.004011       0.009176       0.019298       
7        1.66394        1.66287        0.06418                1.055785       -0.28932       0.00013        0.011078       0.222327       
8        1.69665        1.70234        -0.33533               1.442474       -0.443864      -0.002011      0.002639       0.000762       
9        1.83162        1.82892        0.14726                0.179688       -0.054982      -0.004425      0.190521       0.689198       
10       1.85231        1.84917        0.16927                0.938491       -0.183883      -0.0057        0.002967       0.248125       
11       1.89117        1.89214        -0.0514                1.41658        -0.424181      -0.006521      0.014109       1.2e-05        
12       1.9885         1.98588        0.13203                0.856934       -0.228277      -0.037869      0.402593       0.006618       
13       2.01687        2.01257        0.21354                0.507099       -0.156252      -0.00679       0.381178       0.274764       
14       2.0274         2.01895        0.41675                1.267218       -0.272545      -0.006378      0.003419       0.008286       
15       2.10991        2.11141        -0.07107               0.11104        0.000494       -0.063419      0.95177        0.000115       
16       2.12458        2.11558        0.42344                0.570703       -0.018332      -0.005741      0.027931       0.425439       
17       2.15226        2.14172        0.48996                1.021406       -0.206053      -0.004533      0.003295       0.185885       
18       2.15967        2.16287        -0.14826               0.608194       -0.180201      0.00407        0.03342        0.534517       
19       2.22919        2.22054        0.38799                1.208465       -0.232784      0.005219       0.016426       0.002674       
20       2.28041        2.28038        0.00133                0.689503       -0.205057      -0.004294      0.037655       0.482192       
21       2.36148        2.35793        0.15022                0.635673       -0.124535      -0.014535      0.173273       0.330123       
22       2.38028        2.37264        0.32105                1.008366       -0.20814       0.000863       0.003587       0.195324       
23       2.40566        2.39928        0.2649                 0.547163       0.046218       -0.030138      0.411438       0.025318       
