# res(MHz)	weight
0.96376656	1
1.30823145	1
1.46800211	1
1.50913582	1
1.56370050	1
1.57908680	1
1.58449760	1
1.60145268	1
1.60379599	1
1.78461630	1
1.82097908	1
1.87348907	1
1.93967113	1
1.95107743	1
2.03256046	1
2.09449202	1
2.10615992	1
2.14415543	1
2.16185874	1
2.16562320	1
2.25253070	1
2.32323952	1
2.36513352	1
2.38165158	1
2.43365692	1
2.46229887	1
2.47075563	1
2.52414258	1
2.55268397	1
2.57633066	1
2.61432866	1
2.65374005	1
2.72024880	1
2.75231802	1
2.78101327	1
2.84313291	1
2.86225015	1
2.91074778	1
2.92738685	1
2.93487701	1
2.93910990	1
2.94653000	1
3.04453792	1
3.10550697	1
3.12872823	1
3.19034165	1
3.21202886	1
3.28755223	1
3.30990279	1
3.31245954	1
3.35953067	1
3.38295975	1
3.44221464	1
3.47114680	1
3.49085643	1
3.49579478	1
3.49936778	1
3.54567965	1
3.58026483	1
3.59204025	1
3.60341724	1
3.60808376	1
3.61734788	1
3.61930548	1
3.64650727	1
3.66459911	1
3.71187214	1
3.71714163	1
3.78634233	1
3.81353542	1
3.83904387	1
3.87040485	1
3.91535899	1
3.94481573	1
3.97457493	1
4.00039151	1
4.01902891	1
4.03626289	1
4.04647767	1
4.05716296	1
4.06656913	1
4.08004665	1
4.14321781	1
4.15514457	1
4.19287434	1
