
###############################################################################
###############################################################################

# [[Sample Characteristics]] 
# crystal symmetry:                       hexagonal           
# sample dimensions (mm) (x,y,z):         [0.869 1.01  1.193] 
# mass (mg):                              7.684976435144674   
# highest order basis polynomial:         16                  
# resonance frequencies calculated with:  RUS_RPR             

###############################################################################
###############################################################################

#Fit Statistics-----------------------------------------------------------------
	# fitting method     	= differential_evolution
	# data points        	= 50
	# variables          	= 5
	# fit success        	= True
	# function evals     	= 2319
	# fit duration       	= 370.94 seconds
	# chi-square         	= 0.00647106
	# reduced chi-square 	= 0.00014380

###############################################################################
###############################################################################

#Variables----------------------------------------------------------------------
	# c11 : 141.362 GPa (init = [[110, 160], GPa])
	# c12 : 57.929 GPa (init = [[15, 65], GPa])
	# c13 : 11.218 GPa (init = [[-10, 40], GPa])
	# c33 : 190.680 GPa (init = [[170, 220], GPa])
	# c44 : 49.005 GPa (init = [[20, 70], GPa])
#Fixed values-------------------------------------------------------------------
	# angle_x : 0.00000000 deg
	# angle_y : 0.00000000 deg
	# angle_z : 0.00000000 deg

###############################################################################
###############################################################################

#index  f exp(MHz)   f calc(MHz)  diff (%)     weight  
#-------------------------------------------------------------------------------
0       0.963767     0.961021     0.285        1.0     
1       1.308231     1.308037     0.015        1.0     
2       1.468002     1.477984     0.68         1.0     
3       1.509136     1.495376     0.912        1.0     
4       1.5637       1.560881     0.18         1.0     
5       1.579087     1.563245     1.003        1.0     
6       1.584498     1.597769     0.838        1.0     
7       1.601453     1.603998     0.159        1.0     
8       1.603796     1.609379     0.348        1.0     
9       1.784616     1.778784     0.327        1.0     
10      1.820979     1.826284     0.291        1.0     
11      1.873489     1.855043     0.985        1.0     
12      1.939671     1.927053     0.651        1.0     
13      1.951077     1.940446     0.545        1.0     
14      2.03256      2.018591     0.687        1.0     
15      2.094492     2.097266     0.132        1.0     
16      2.10616      2.1196       0.638        1.0     
17      2.144155     2.144663     0.024        1.0     
18      2.161859     2.162565     0.033        1.0     
19      2.165623     2.174736     0.421        1.0     
20      2.252531     2.252816     0.013        1.0     
21      2.32324      2.325003     0.076        1.0     
22      2.365134     2.347934     0.727        1.0     
23      2.381652     2.402065     0.857        1.0     
24      2.433657     2.429113     0.187        1.0     
25      2.462299     2.460398     0.077        1.0     
26      2.470756     2.475774     0.203        1.0     
27      2.524143     2.546224     0.875        1.0     
28      2.552684     2.569211     0.647        1.0     
29      2.576331     2.610409     1.323        1.0     
30      2.614329     2.628104     0.527        1.0     
31      2.65374      2.664462     0.404        1.0     
32      2.720249     2.705223     0.552        1.0     
33      2.752318     2.749687     0.096        1.0     
34      2.781013     2.777237     0.136        1.0     
35      2.843133     2.859174     0.564        1.0     
36      2.86225      2.871118     0.31         1.0     
37      2.910748     2.914746     0.137        1.0     
38      2.927387     2.915357     0.411        1.0     
39      2.934877     2.923203     0.398        1.0     
40      2.93911      2.933006     0.208        1.0     
41      2.94653      2.937427     0.309        1.0     
42      3.044538     3.048366     0.126        1.0     
43      3.105507     3.0893       0.522        1.0     
44      3.128728     3.129768     0.033        1.0     
45      3.190342     3.185123     0.164        1.0     
46      3.212029     3.216397     0.136        1.0     
47      3.287552     3.279565     0.243        1.0     
48      3.309903     3.297021     0.389        1.0     
49      3.31246      3.308783     0.111        1.0     
50      0.0          3.378452     0.0          0.0     
51      0.0          3.388        0.0          0.0     
52      0.0          3.428326     0.0          0.0     
53      0.0          3.439528     0.0          0.0     
54      0.0          3.492582     0.0          0.0     
55      0.0          3.508732     0.0          0.0     
56      0.0          3.521327     0.0          0.0     
57      0.0          3.525164     0.0          0.0     
58      0.0          3.558453     0.0          0.0     
59      0.0          3.575515     0.0          0.0     
#-------------------------------------------------------------------------------
# RMS = 0.505 %
#-------------------------------------------------------------------------------
