# res(MHz)	weight
0.86329026	1
1.31591817	1
1.33773503	1
1.35974477	1
1.38089500	1
1.45131822	1
1.62763088	1
1.65209744	1
1.66750984	1
1.70683902	1
1.81957930	1
1.85830156	1
1.87665904	1
1.90523763	1
1.91472647	1
1.95025794	1
2.04376186	1
2.05643212	1
2.07375414	1
2.15402407	1
2.25912807	1
2.26789061	1
2.28210003	1
2.28671967	1
2.33161226	1
2.35340916	1
2.39770204	1
2.40523253	1
2.45234804	1
2.48108831	1
2.49576852	1
2.51094302	1
2.57300362	1
2.58711726	1
2.64563523	1
2.66082908	1
2.70703599	1
2.71890309	1
2.78716882	1
2.81906376	1
2.85375688	1
2.86775014	1
2.90046742	1
3.00496437	1
3.02768386	1
3.05546618	1
3.07539672	1
3.12169006	1
3.15397073	1
3.18045916	1
3.19599857	1
3.23659496	1
3.30215734	1
3.30782955	1
3.31186348	1
3.32676492	1
3.33879288	1
3.35033570	1
3.40624202	1
3.41844161	1
3.44504604	1
3.45331463	1
3.50315774	1
3.53301801	1
3.54798701	1
3.58028718	1
3.59019900	1
3.59661762	1
3.64896855	1
3.66913826	1
3.68820675	1
3.69832770	1
3.71379513	1
3.73025952	1
3.74330769	1
3.75043747	1
3.76101986	1
3.76325729	1
3.81157110	1
3.86085874	1
3.86949730	1
3.89888949	1
3.94283692	1
3.95378688	1
