
########################################################################################################################
########################################################################################################################

# [[Sample Characteristics]] 
# crystal symmetry:                       orthorhombic        
# density (kg/m^3):                       9190                
# highest order basis polynomial:         18                  
# resonance frequencies calculated with:  RUS_XYZ             

########################################################################################################################
########################################################################################################################

#Fit Statistics-----------------------------------------------------------------
	# Fitting Class      	= rus_lmfit
	# fitting method     	= leastsq
	# polish             	= True
	# data points        	= 152
	# variables          	= 9
	# fit success        	= True
	# function evals     	= 94
	# fit duration       	= 1305.79 seconds
	# chi-square         	= 0.00034241
	# reduced chi-square 	= 0.00000239
#Variables----------------------------------------------------------------------
	# c11 : (89.658 +- 0.015) GPa (init = [[70, 100], GPa])
	# c12 : (25.277 +- 0.001) GPa (init = [[10, 40], GPa])
	# c13 : (40.997 +- 0.003) GPa (init = [[25, 55], GPa])
	# c22 : (143.989 +- 0.016) GPa (init = [[125, 155], GPa])
	# c23 : (31.981 +- 0.013) GPa (init = [[15, 60], GPa])
	# c33 : (95.898 +- 0.028) GPa (init = [[75, 105], GPa])
	# c44 : (28.053 +- 0.006) GPa (init = [[15, 45], GPa])
	# c55 : (53.406 +- 0.003) GPa (init = [[37, 67], GPa])
	# c66 : (30.585 +- 0.002) GPa (init = [[15, 45], GPa])
#Fixed values-------------------------------------------------------------------
	# angle_x : 88.97059856 deg
	# angle_y : 76.58791088 deg
	# angle_z : 60.33777973 deg

########################################################################################################################
########################################################################################################################

#                                                      2 x logarithmic derivative (2 x dlnf / dlnc)                                                                                                        
#index  f exp(MHz)   f calc(MHz)  diff (%)     weight  c11          c12          c13          c22          c23          c33          c44          c55          c66          
#-----------------------------------------------------------------------------------------------------------------------
0       0.663438     0.657173     0.0          0.0     0.798044     -0.038114    -0.297573    0.015164     0.018124     0.147414     0.0344       0.088624     0.233918     
1       0.817239     0.815276     0.0          0.0     0.303485     -0.025966    -0.116683    0.032091     0.008232     0.070767     0.018524     0.194153     0.515396     
2       0.877022     0.879003     0.0          0.0     0.854134     -0.045079    -0.315985    0.052359     0.010629     0.164885     0.008613     0.062231     0.208213     
3       1.119521     1.119804     0.025        1.0     0.915495     -0.042393    -0.391872    0.016182     0.023873     0.217433     0.010196     0.009262     0.241823     
4       1.219701     1.217572     0.175        1.0     0.732693     -0.055685    -0.291341    0.046415     0.020941     0.172869     0.100538     0.108806     0.164764     
5       1.34208      1.348359     0.466        1.0     0.104594     -0.006927    -0.059751    0.184245     -0.035201    0.105789     0.165982     0.16074      0.380528     
6       1.363267     1.358665     0.339        1.0     0.385498     -0.029458    -0.139867    0.026669     0.014013     0.070951     0.026175     0.114268     0.531752     
7       1.517891     1.518368     0.031        1.0     0.126493     0.01101      -0.09369     0.191597     -0.033459    0.238657     0.341223     0.078798     0.139371     
8       1.596182     1.601079     0.306        1.0     0.450431     0.007769     -0.225119    0.088823     -0.028781    0.181779     0.078167     0.026403     0.420528     
9       1.672693     1.673088     0.024        1.0     0.108235     -0.015872    -0.044214    0.115984     -0.001352    0.078075     0.49469      0.117515     0.14694      
10      1.714449     1.713974     0.028        1.0     0.395572     -0.022307    -0.178896    0.086926     -0.015255    0.167297     0.213474     0.144747     0.208441     
11      1.750598     1.745726     0.279        1.0     0.176748     0.00076      -0.100719    0.080553     -0.00744     0.105251     0.605066     0.025042     0.11474      
12      1.808057     1.808717     0.036        1.0     0.325342     0.003481     -0.161793    0.065647     -0.010787    0.178077     0.307006     0.118248     0.174779     
13      1.871511     1.872155     0.034        1.0     0.452371     0.013652     -0.303799    0.059073     -0.018386    0.36662      0.132538     0.064106     0.233822     
14      1.905728     1.903821     0.1          1.0     0.226557     -0.031895    -0.134275    0.127018     -0.023271    0.230827     0.138013     0.141859     0.325167     
15      1.973233     1.971862     0.07         1.0     0.328338     -0.025323    -0.115697    0.063522     0.003584     0.085335     0.185031     0.119589     0.355621     
16      2.069272     2.063482     0.281        1.0     0.359325     -0.014751    -0.224346    0.029391     0.008761     0.276878     0.313062     0.059469     0.192211     
17      2.09666      2.104638     0.379        1.0     0.313235     -0.011447    -0.20694     0.135476     -0.033128    0.296314     0.195844     0.099825     0.21082      
18      2.173738     2.178068     0.199        1.0     0.301358     -0.004391    -0.217236    0.104372     -0.031524    0.358573     0.158212     0.121212     0.209424     
19      2.230964     2.225889     0.228        1.0     0.236346     0.004615     -0.135382    0.315431     -0.153513    0.419        0.102386     0.028349     0.182768     
