
########################################################################################################################
########################################################################################################################

# [[Sample Characteristics]] 
# crystal symmetry:                       orthorhombic        
# density (kg/m^3):                       9190                
# highest order basis polynomial:         18                  
# resonance frequencies calculated with:  RUS_XYZ             

########################################################################################################################
########################################################################################################################

#Fit Statistics-----------------------------------------------------------------
	# Fitting Class      	= rus_ray
	# fitting method     	= differential evolution
	# polish             	= True
	# data points        	= 152
	# variables          	= 9
	# fit success        	= True
	# generations        	= 122 + 1
	# function evals     	= 22260
	# fit duration       	= 62862.06 seconds
	# chi-square         	= 0.00029753
	# reduced chi-square 	= 0.00000208
#Variables----------------------------------------------------------------------
	# c11 : 89.757 GPa (init = [[70, 100], GPa])
	# c12 : 25.276 GPa (init = [[10, 40], GPa])
	# c13 : 40.987 GPa (init = [[25, 55], GPa])
	# c22 : 143.935 GPa (init = [[125, 155], GPa])
	# c23 : 31.839 GPa (init = [[15, 60], GPa])
	# c33 : 95.988 GPa (init = [[75, 105], GPa])
	# c44 : 28.099 GPa (init = [[15, 45], GPa])
	# c55 : 53.402 GPa (init = [[37, 67], GPa])
	# c66 : 30.594 GPa (init = [[15, 45], GPa])
#Fixed values-------------------------------------------------------------------
	# angle_x : -86.59120000 GPa
	# angle_y : -75.20310000 GPa
	# angle_z : -64.15210000 GPa

########################################################################################################################
########################################################################################################################

#                                                      2 x logarithmic derivative (2 x dlnf / dlnc)                                                                                                        
#index  f exp(MHz)   f calc(MHz)  diff (%)     weight  c11          c12          c13          c22          c23          c33          c44          c55          c66          
#-----------------------------------------------------------------------------------------------------------------------
0       0.663438     0.657015     0.0          0.0     0.796551     -0.038269    -0.296182    0.015284     0.018097     0.14673      0.034426     0.088823     0.234539     
1       0.817239     0.814719     0.309        1.0     0.302708     -0.026193    -0.115932    0.032265     0.00829      0.07036      0.018521     0.194806     0.515175     
2       0.877022     0.879021     0.227        1.0     0.85457      -0.045229    -0.315348    0.052413     0.010692     0.164473     0.008596     0.061697     0.208137     
3       1.119521     1.120028     0.045        1.0     0.913161     -0.042633    -0.389723    0.016379     0.023848     0.216208     0.010295     0.009429     0.243035     
4       1.219701     1.21704      0.219        1.0     0.733209     -0.056044    -0.290747    0.046644     0.021029     0.172568     0.100706     0.108989     0.163645     
5       1.34208      1.347231     0.382        1.0     0.105342     -0.007313    -0.059478    0.184335     -0.034689    0.105164     0.165134     0.161155     0.38035      
6       1.363267     1.358411     0.357        1.0     0.384872     -0.029329    -0.13962     0.026495     0.013945     0.070931     0.026081     0.114067     0.532559     
7       1.517891     1.517505     0.025        1.0     0.126388     0.010973     -0.093415    0.191838     -0.032987    0.238334     0.34113      0.078767     0.138972     
8       1.596182     1.60105      0.304        1.0     0.450328     0.00749      -0.224168    0.088744     -0.028344    0.180671     0.077128     0.02654      0.421609     
9       1.672693     1.67249      0.012        1.0     0.108774     -0.016097    -0.044192    0.11641      -0.001176    0.078289     0.492901     0.118467     0.146624     
10      1.714449     1.712727     0.101        1.0     0.397342     -0.022921    -0.179961    0.087174     -0.014996    0.169148     0.207497     0.144771     0.211946     
11      1.750598     1.745943     0.267        1.0     0.173803     0.001315     -0.098468    0.080703     -0.007466    0.103007     0.611597     0.024839     0.11067      
12      1.808057     1.808089     0.002        1.0     0.320149     0.003496     -0.158044    0.066204     -0.010657    0.176518     0.308625     0.119449     0.174259     
13      1.871511     1.871933     0.023        1.0     0.455286     0.01292      -0.304018    0.058691     -0.017531    0.36433      0.131768     0.062922     0.235632     
14      1.905728     1.902209     0.185        1.0     0.225928     -0.032133    -0.133721    0.127102     -0.022758    0.230233     0.138201     0.142077     0.32507      
